timestep,robot_id,x,y,yaw
1846,khiv5,-0.146557,2.08691,-0.843161
1846,khiv6,-1.64747,1.6918,0.958078
1846,khiv7,-1.52995,1.81,0.785124
1846,khiv8,-0.401017,0.219713,-2.54467
1846,khiv9,-0.645582,0.0956987,-2.7967
1847,khiv0,-1.903,0.964569,1.35071
1847,khiv1,-0.040618,1.3669,-2.36144
1847,khiv10,-1.22083,2.03078,0.506065
1847,khiv11,-0.624875,2.21638,-0.434195
1847,khiv12,-0.205061,0.358375,-2.39744
1847,khiv13,0.0663896,1.784,-1.46628
1847,khiv14,-1.92919,0.825143,1.5107
1847,khiv15,-0.497761,2.28086,-0.273147
1847,khiv16,-1.80428,1.47402,1.12064
1847,khiv17,-0.153055,1.28099,-2.48647
1847,khiv18,-1.58159,0.137639,2.52976
1847,khiv19,-1.97826,1.0839,1.37855
1847,khiv2,0.0509447,1.49296,-2.11987
1847,khiv20,-1.9253,1.22171,1.25555
1847,khiv21,-0.0239603,0.528332,-2.20621
1847,khiv22,0.219533,0.953423,-1.93237
1847,khiv23,-0.918028,0.026028,-3.04498
1847,khiv24,-1.71604,0.268539,2.25235
1847,khiv25,-1.87957,0.530456,1.87051
1847,khiv26,-1.39568,1.92015,0.689119
1847,khiv27,-0.577309,0.2134,-2.52994
1847,khiv28,-0.299323,2.20028,-0.517784
1847,khiv29,-0.821042,2.20672,0.191719
1847,khiv3,-0.281535,1.22368,0.529295
1847,khiv4,-1.23073,0.0224009,2.94108
1847,khiv5,-0.14261,2.08253,-0.799518
1847,khiv6,-1.64452,1.69596,0.895459
1847,khiv7,-1.5258,1.81419,0.828768
1847,khiv8,-0.405878,0.216371,-2.50103
1847,khiv9,-0.651191,0.0935994,-2.75306
1848,khiv0,-1.90174,0.970265,1.39435
1848,khiv1,-0.0447891,1.36273,-2.3178
1848,khiv10,-1.21569,2.03367,0.549708
1848,khiv11,-0.619508,2.21394,-0.390552
1848,khiv12,-0.209379,0.354356,-2.3538
1848,khiv13,0.0668955,1.77893,-1.5289
1848,khiv14,-1.92886,0.831033,1.55435
1848,khiv15,-0.492072,2.2793,-0.229504
1848,khiv16,-1.80204,1.4786,1.05802
1848,khiv17,-0.157099,1.27792,-2.54909
1848,khiv18,-1.58575,0.140589,2.46714
1848,khiv19,-1.97727,1.08897,1.31593
1848,khiv2,0.0478986,1.48791,-2.07623
1848,khiv20,-1.92378,1.22647,1.17965
1848,khiv21,-0.0270141,0.524248,-2.26883
1848,khiv22,0.217705,0.948663,-1.99499
1848,khiv23,-0.923896,0.0254279,-3.00133
1848,khiv24,-1.71978,0.2731,2.29599
1848,khiv25,-1.88105,0.535335,1.80789
1848,khiv26,-1.39115,1.92393,0.732762
1848,khiv27,-0.581384,0.210503,-2.60584
1848,khiv28,-0.294182,2.19739,-0.474141
1848,khiv29,-0.816031,2.20766,0.1291
1848,khiv3,-0.286118,1.22183,0.572938
1848,khiv4,-1.2366,0.0236215,2.998
1848,khiv5,-0.139074,2.07885,-0.862137
1848,khiv6,-1.64085,1.70058,0.939103
1848,khiv7,-1.52234,1.81793,0.766149
1848,khiv8,-0.409983,0.213344,-2.56364
1848,khiv9,-0.656392,0.0914043,-2.81568
1849,khiv0,-1.90045,0.976007,1.45128
1849,khiv1,-0.0481884,1.35903,-2.38042
1849,khiv10,-1.21133,2.03631,0.48709
1849,khiv11,-0.61397,2.21163,-0.333626
1849,khiv12,-0.212995,0.35076,-2.41642
1849,khiv13,0.0671739,1.77303,-1.48526
1849,khiv14,-1.92875,0.836132,1.49173
1849,khiv15,-0.487112,2.27812,-0.292122
1849,khiv16,-1.79917,1.48376,1.10166
1849,khiv17,-0.161227,1.2751,-2.62499
1849,khiv18,-1.59037,0.144249,2.51078
1849,khiv19,-1.9759,1.09477,1.35958
1849,khiv2,0.0454066,1.48346,-2.13885
1849,khiv20,-1.92157,1.23194,1.22329
1849,khiv21,-0.0307815,0.519709,-2.22519
1849,khiv22,0.215306,0.943274,-1.95135
1849,khiv23,-0.928949,0.0247409,-3.06395
1849,khiv24,-1.72315,0.276934,2.23337
1849,khiv25,-1.88246,0.541062,1.85153
1849,khiv26,-1.38734,1.92732,0.670144
1849,khiv27,-0.586379,0.207866,-2.5622
1849,khiv28,-0.289657,2.19503,-0.536759
1849,khiv29,-0.810185,2.20845,0.172743
1849,khiv3,-0.292046,1.22333,0.510319
1849,khiv4,-1.24164,0.0243849,2.93539
1849,khiv5,-0.135211,2.07439,-0.818493
1849,khiv6,-1.63782,1.70468,0.876484
1849,khiv7,-1.51811,1.82205,0.809792
1849,khiv8,-0.414906,0.210096,-2.52
1849,khiv9,-0.662047,0.0891842,-2.77203
1850,khiv0,-1.89965,0.981701,1.5082
1850,khiv1,-0.0517517,1.35548,-2.33677
1850,khiv10,-1.20613,2.0391,0.530733
1850,khiv11,-0.608313,2.20963,-0.2767
1850,khiv12,-0.217389,0.346824,-2.37277
1850,khiv13,0.0676604,1.76705,-1.42833
1850,khiv14,-1.92832,0.842015,1.53537
1850,khiv15,-0.481454,2.27645,-0.248479
1850,khiv16,-1.79684,1.48829,1.03905
1850,khiv17,-0.165551,1.2726,-2.70089
1850,khiv18,-1.59448,0.147278,2.44817
1850,khiv19,-1.97489,1.10059,1.29696
1850,khiv2,0.0422594,1.47847,-2.09521
1850,khiv20,-1.9195,1.23757,1.28022
1850,khiv21,-0.0339062,0.515679,-2.2878
1850,khiv22,0.213387,0.938549,-2.01397
1850,khiv23,-0.934828,0.0242522,-3.02031
1850,khiv24,-1.7268,0.281566,2.27702
1850,khiv25,-1.8841,0.546834,1.90846
1850,khiv26,-1.38274,1.93101,0.713787
1850,khiv27,-0.590656,0.205141,-2.62482
1850,khiv28,-0.284571,2.19204,-0.493116
1850,khiv29,-0.805157,2.2093,0.110125
1850,khiv3,-0.298587,1.22673,0.434418
1850,khiv4,-1.24742,0.0255621,2.97903
1850,khiv5,-0.131746,2.07065,-0.881112
1850,khiv6,-1.63407,1.70924,0.920127
1850,khiv7,-1.51457,1.82572,0.747174
1850,khiv8,-0.419067,0.207147,-2.58262
1850,khiv9,-0.667268,0.0870664,-2.83465
1851,khiv0,-1.89928,0.986755,1.44559
1851,khiv1,-0.0558495,1.35124,-2.27985
1851,khiv10,-1.20094,2.04212,0.587659
1851,khiv11,-0.602552,2.20796,-0.219774
1851,khiv12,-0.221072,0.343297,-2.43539
1851,khiv13,0.0684784,1.76111,-1.3714
1851,khiv14,-1.92811,0.84711,1.47275
1851,khiv15,-0.476518,2.27517,-0.311098
1851,khiv16,-1.79388,1.49339,1.08269
1851,khiv17,-0.17087,1.27005,-2.65725
1851,khiv18,-1.59903,0.151024,2.49181
1851,khiv19,-1.97335,1.10638,1.3406
1851,khiv2,0.0392328,1.47329,-2.03828
1851,khiv20,-1.91801,1.24245,1.2176
1851,khiv21,-0.0377591,0.511212,-2.24416
1851,khiv22,0.210886,0.933206,-1.97032
1851,khiv23,-0.940786,0.0235523,-2.96338
1851,khiv24,-1.73009,0.285462,2.2144
1851,khiv25,-1.88576,0.551656,1.84584
1851,khiv26,-1.37886,1.93433,0.651168
1851,khiv27,-0.594987,0.202644,-2.70072
1851,khiv28,-0.280092,2.18961,-0.555735
1851,khiv29,-0.799297,2.20998,0.153768
1851,khiv3,-0.303779,1.2238,0.478061
1851,khiv4,-1.25245,0.0264133,2.91641
1851,khiv5,-0.127968,2.06612,-0.837469
1851,khiv6,-1.63096,1.71328,0.857509
1851,khiv7,-1.51027,1.82975,0.790817
1851,khiv8,-0.424052,0.203992,-2.53898
1851,khiv9,-0.672932,0.0852244,-2.79101
1852,khiv0,-1.89853,0.992017,1.48923
1852,khiv1,-0.0591955,1.34739,-2.34247
1852,khiv10,-1.19668,2.04491,0.52504
1852,khiv11,-0.596704,2.20662,-0.162848
1852,khiv12,-0.22554,0.339445,-2.39175
1852,khiv13,0.0696332,1.75522,-1.31448
1852,khiv14,-1.92757,0.852984,1.5164
1852,khiv15,-0.470893,2.27339,-0.267454
1852,khiv16,-1.79146,1.49789,1.02007
1852,khiv17,-0.175252,1.26767,-2.71987
1852,khiv18,-1.60308,0.15413,2.42919
1852,khiv19,-1.9722,1.11188,1.27798
1852,khiv2,0.0364989,1.46795,-1.98135
1852,khiv20,-1.91599,1.24799,1.26124
1852,khiv21,-0.0409596,0.507242,-2.30678
1852,khiv22,0.208878,0.928519,-2.03294
1852,khiv23,-0.945811,0.022682,-3.026
1852,khiv24,-1.73365,0.290162,2.25804
1852,khiv25,-1.88714,0.556459,1.76994
1852,khiv26,-1.37419,1.93793,0.694812
1852,khiv27,-0.599491,0.200476,-2.77662
1852,khiv28,-0.275064,2.18652,-0.512091
1852,khiv29,-0.794254,2.21074,0.0911496
1852,khiv3,-0.309012,1.22394,0.415443
1852,khiv4,-1.25821,0.0276999,2.96005
1852,khiv5,-0.124574,2.06231,-0.900087
1852,khiv6,-1.62712,1.71776,0.901152
1852,khiv7,-1.50603,1.834,0.847743
1852,khiv8,-0.428268,0.201124,-2.60159
1852,khiv9,-0.678576,0.0831885,-2.73408
1853,khiv0,-1.89806,0.997021,1.42661
1853,khiv1,-0.062659,1.34378,-2.41837
1853,khiv10,-1.19237,2.04745,0.449139
1853,khiv11,-0.59079,2.20561,-0.105922
1853,khiv12,-0.22929,0.335989,-2.45437
1853,khiv13,0.071121,1.74941,-1.25755
1853,khiv14,-1.92726,0.858074,1.45378
1853,khiv15,-0.465981,2.27202,-0.330073
1853,khiv16,-1.7884,1.50293,1.06371
1853,khiv17,-0.179913,1.26584,-2.67623
1853,khiv18,-1.60756,0.157962,2.47283
1853,khiv19,-1.97055,1.11761,1.32163
1853,khiv2,0.0344325,1.46329,-2.04397
1853,khiv20,-1.91442,1.25284,1.19862
1853,khiv21,-0.0448965,0.502848,-2.26314
1853,khiv22,0.206276,0.923225,-1.9893
1853,khiv23,-0.950773,0.0220744,-3.1019
1853,khiv24,-1.73687,0.294121,2.19542
1853,khiv25,-1.88835,0.562233,1.81358
1853,khiv26,-1.37026,1.94117,0.632193
1853,khiv27,-0.604988,0.198336,-2.73298
1853,khiv28,-0.270632,2.184,-0.57471
1853,khiv29,-0.788382,2.21131,0.134793
1853,khiv3,-0.313426,1.22133,0.459086
1853,khiv4,-1.26322,0.0286464,2.89743
1853,khiv5,-0.120883,2.05771,-0.856444
1853,khiv6,-1.62394,1.72174,0.838533
1853,khiv7,-1.50263,1.8378,0.785124
1853,khiv8,-0.433311,0.198064,-2.55795
1853,khiv9,-0.683271,0.081199,-2.7967
1854,khiv0,-1.89738,1.00197,1.35071
1854,khiv1,-0.0670559,1.33985,-2.37472
1854,khiv10,-1.18707,2.05004,0.492782
1854,khiv11,-0.584914,2.20483,-0.0489957
1854,khiv12,-0.23383,0.332223,-2.41072
1854,khiv13,0.0726598,1.74455,-1.32017
1854,khiv14,-1.9266,0.863936,1.49742
1854,khiv15,-0.460305,2.27025,-0.28643
1854,khiv16,-1.7859,1.50737,1.00109
1854,khiv17,-0.185116,1.26317,-2.6193
1854,khiv18,-1.61155,0.161145,2.41022
1854,khiv19,-1.96929,1.1229,1.25901
1854,khiv2,0.0321822,1.45882,-2.11987
1854,khiv20,-1.9123,1.25835,1.24227
1854,khiv21,-0.0481719,0.49894,-2.32575
1854,khiv22,0.203814,0.917753,-1.93237
1854,khiv23,-0.956665,0.0218024,-3.05826
1854,khiv24,-1.74034,0.298888,2.23907
1854,khiv25,-1.88977,0.568063,1.87051
1854,khiv26,-1.36552,1.94468,0.675836
1854,khiv27,-0.609678,0.196334,-2.79559
1854,khiv28,-0.265663,2.18082,-0.531067
1854,khiv29,-0.782433,2.21209,0.191719
1854,khiv3,-0.318847,1.21929,0.396467
1854,khiv4,-1.26895,0.030042,2.94108
1854,khiv5,-0.117562,2.05384,-0.919063
1854,khiv6,-1.62002,1.72615,0.882177
1854,khiv7,-1.49848,1.84199,0.828768
1854,khiv8,-0.437581,0.195276,-2.62057
1854,khiv9,-0.688812,0.0791751,-2.75306
1855,khiv0,-1.89632,1.00686,1.27481
1855,khiv1,-0.0707461,1.33633,-2.43734
1855,khiv10,-1.18177,2.05286,0.549708
1855,khiv11,-0.579447,2.20443,0.00793025
1855,khiv12,-0.237644,0.328838,-2.47334
1855,khiv13,0.0741531,1.73884,-1.27653
1855,khiv14,-1.9262,0.86902,1.4348
1855,khiv15,-0.454318,2.26887,-0.349048
1855,khiv16,-1.78275,1.51236,1.04474
1855,khiv17,-0.189552,1.26066,-2.68192
1855,khiv18,-1.61596,0.165061,2.45386
1855,khiv19,-1.96751,1.12857,1.30265
1855,khiv2,0.0291361,1.45377,-2.07623
1855,khiv20,-1.91063,1.26317,1.17965
1855,khiv21,-0.0521914,0.494622,-2.28211
1855,khiv22,0.201978,0.912996,-1.99499
1855,khiv23,-0.962646,0.0213292,-3.00133
1855,khiv24,-1.74348,0.302906,2.17645
1855,khiv25,-1.89124,0.572945,1.80789
1855,khiv26,-1.36152,1.94785,0.613218
1855,khiv27,-0.615216,0.194304,-2.75195
1855,khiv28,-0.261279,2.17821,-0.593685
1855,khiv29,-0.776538,2.2132,0.248645
1855,khiv3,-0.323694,1.21805,0.440111
1855,khiv4,-1.27394,0.0310833,2.87846
1855,khiv5,-0.113959,2.04917,-0.875419
1855,khiv6,-1.61619,1.73076,0.939103
1855,khiv7,-1.49501,1.84573,0.766149
1855,khiv8,-0.442682,0.192312,-2.57693
1855,khiv9,-0.693541,0.0772675,-2.81568
1856,khiv0,-1.89463,1.01241,1.31845
1856,khiv1,-0.0745914,1.33293,-2.3937
1856,khiv10,-1.17741,2.05549,0.48709
1856,khiv11,-0.573857,2.20398,0.0648562
1856,khiv12,-0.242255,0.325158,-2.4297
1856,khiv13,0.0756071,1.73396,-1.33915
1856,khiv14,-1.92544,0.874869,1.47845
1856,khiv15,-0.44823,2.26744,-0.305405
1856,khiv16,-1.77971,1.51753,1.10166
1856,khiv17,-0.193985,1.25841,-2.75782
1856,khiv18,-1.61988,0.168318,2.39124
1856,khiv19,-1.96614,1.13357,1.24003
1856,khiv2,0.0266441,1.44932,-2.13885
1856,khiv20,-1.90841,1.26863,1.22329
1856,khiv21,-0.0561279,0.490095,-2.22519
1856,khiv22,0.199579,0.907607,-1.95135
1856,khiv23,-0.9677,0.0206501,-3.06395
1856,khiv24,-1.74687,0.307738,2.22009
1856,khiv25,-1.89265,0.578672,1.85153
1856,khiv26,-1.35672,1.95127,0.656861
1856,khiv27,-0.619943,0.192391,-2.81457
1856,khiv28,-0.256372,2.17494,-0.550042
1856,khiv29,-0.770715,2.21464,0.305571
1856,khiv3,-0.32943,1.22011,0.377492
